
 Unit 1: Growing Up & Technology

| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| curious | /'kjʊəriəs/ | adj. 好奇的 |
| magazine | /ˌmægə'zi:n/ | n. 杂志 |
| test | /test/ | v. 测试；检测 |
| windsurf | /'wɪndsɜːf/ | v. 做帆板运动 |
| feeling | /'fi:lɪŋ/ | n. 感受 |
| brave | /breɪv/ | adj. 勇敢的 |
| challenge | /'tʃælɪndʒ/ | n. 挑战 |
| machine | /mə'ʃi:n/ | n. 机器 |
| traffic | /'træfik/ | n. 交通 |
| board | /bɔ:d/ | n. 板 |
| print | /prɪnt/ | v. 打印 |
| printing | /'prɪntɪŋ/ | n. 印刷；打印 |
| improve | /ɪm'pru:v/ | v. 改善；改进 |
| camp | /kæmp/ | n. 营地 v. 露营 |
| grow | /grəʊ/ | v. 生长；栽种 |
| sticker | /'stɪkə(r)/ | n. 贴纸 |
| power | /'paʊə(r)/ | v. 驱动 |
| renewable | /rɪ'nju:əbl/ | adj. 可再生的 |
| discuss | /dɪ'skʌs/ | v. 讨论 |
| everywhere | /'evriweə(r)/ | adv. 到处 |
| impossible | /ɪm'pɒsəbl/ | adj. 不可能的 |
| solar panel | /ˌsəʊlə'pænl/ | n. 太阳能电池板 |
| solar cell | /ˌsəʊlə'sel/ | n. 太阳能电池 |
| holder | /'həʊldə(r)/ | n. 支托(或握持)……之物 |
| fail | /feɪl/ | v. 失败 |
| pizza | /'pi:tsə/ | n. 比萨饼 |
| burn | /bɜːn/ | v. 烫伤 |
| pan | /pæn/ | n. 平底锅 |
| troublesome | /'trʌblsəm/ | adj. 令人烦恼的 |
| luckily | /'lʌkɪli/ | adv. 幸好 |
| excitedly | /ɪk'saɪtɪdli/ | adv. 兴奋地 |
| layer | /'leɪə(r)/ | n. 层；层次 |
| separate | /'sepəreɪt/ | v. 隔开；分离 |
| countless | /'kaʊntləs/ | adj. 无数的；数不尽的 |
| succeed | /sək'si:d/ | v. 成功 |
| hopefully | /'həʊpfəli/ | adv. 有希望地 |
| stick | /stɪk/ | v. 粘贴 n. 拐杖 |
| device | /dɪ'vaɪs/ | n. 仪器 |
| away | /ə'weɪ/ | adv. 离开 |
| take away | | 拿走 |
| creative | /kri'eɪtɪv/ | adj. 有创造力的 |
| handle | /'hændl/ | n. 把手 |
| proud | /praʊd/ | adj. 骄傲的；自豪的 |

Unit 2: Dealing with Fears & Emotions
| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| radio | /'reɪdiəʊ/ | n. 无线电广播；收音机 |
| deal | /di:l/ | v. 处理 |
| deal with | | 处理 |
| fear | /fiə(r)/ | n. 害怕；担忧 |
| deep | /di:p/ | adj. 低沉的；深的 |
| rough | /rʌf/ | adj. 令人不舒服的；粗糙的 |
| belief | /bɪ'li:f/ | n. 信念；相信 |
